"","run","samples","edays","egord","xseed","yseed","degord","nobjects","dev","type","k"
"1",1,0,27.6525,0,32.86,19.72,2.16666666666667,1,2.16666666666667,"IXR",2.5
"2",2,0,27.6525,0,54.22,51.86,2.16666666666667,1,2.16666666666667,"IXR",2.5
"3",3,0,27.6525,0,35.8,20.64,2.16666666666667,1,2.16666666666667,"IXR",2.5
"4",4,0,27.6525,0,43.97,40.17,2.16666666666667,1,2.16666666666667,"IXR",2.5
"5",5,0,27.6525,0,25.87,23.23,2.16666666666667,1,2.16666666666667,"IXR",2.5
"6",6,26,27.6525,1.95875217481761,17.43,49.37,2.16666666666667,1,0.207914491849061,"IXR",2.5
"7",7,42,27.6525,3.16413812855152,50.93,23.1,2.16666666666667,1,-0.997471461884849,"IXR",2.5
"8",8,2,27.6525,0.150673244216739,48.74,10.94,2.16666666666667,1,2.01599342244993,"IXR",2.5
"9",9,9,27.6525,0.678029598975325,50.7,11.9,2.16666666666667,1,1.48863706769134,"IXR",2.5
"10",10,5,27.6525,0.376683110541847,38.29,49.85,2.16666666666667,1,1.78998355612482,"IXR",2.5
"11",11,5,27.6525,0.376683110541847,34.71,46.15,2.16666666666667,1,1.78998355612482,"IXR",2.5
"12",12,14,27.6525,1.05471270951717,28.71,46.76,2.16666666666667,1,1.11195395714949,"IXR",2.5
"13",13,33,27.6525,2.48610852957619,47.99,28.84,2.16666666666667,1,-0.319441862909525,"IXR",2.5
"14",14,0,27.6525,0,47.7,52.39,2.16666666666667,1,2.16666666666667,"IXR",2.5
"15",15,125,27.6525,9.41707776354618,12.05,54.8,2.16666666666667,1,-7.25041109687951,"IXR",2.5
"16",1,22,27.6525,1.65740568638413,23.81,11.23,2.16666666666667,1,0.509260980282539,"IXR",5
"17",2,88,27.6525,6.62962274553651,33.45,41.16,2.16666666666667,1,-4.46295607886984,"IXR",5
"18",3,2,27.6525,0.150673244216739,53.4,48.23,2.16666666666667,1,2.01599342244993,"IXR",5
"19",4,22,27.6525,1.65740568638413,19.41,13.88,2.16666666666667,1,0.509260980282539,"IXR",5
"20",5,10,27.6525,0.753366221083694,16.95,24.84,2.16666666666667,1,1.41330044558297,"IXR",5
"21",6,4,27.6525,0.301346488433478,54.94,40.64,2.16666666666667,1,1.86532017823319,"IXR",5
"22",7,8,27.6525,0.602692976866955,52.04,40.78,2.16666666666667,1,1.56397368979971,"IXR",5
"23",8,72,27.6525,5.4242367918026,25.82,38.08,2.16666666666667,1,-3.25757012513593,"IXR",5
"24",9,2,27.6525,0.150673244216739,54.28,42.38,2.16666666666667,1,2.01599342244993,"IXR",5
"25",10,39,27.6525,2.93812826222641,28.47,33.58,2.16666666666667,1,-0.771461595559741,"IXR",5
"26",11,0,27.6525,0,50.26,28.3,2.16666666666667,1,2.16666666666667,"IXR",5
"27",12,14,27.6525,1.05471270951717,19.15,52.58,2.16666666666667,1,1.11195395714949,"IXR",5
"28",13,58,27.6525,4.36952408228543,33.9,49.15,2.16666666666667,1,-2.20285741561876,"IXR",5
"29",14,14,27.6525,1.05471270951717,40.74,16.82,2.16666666666667,1,1.11195395714949,"IXR",5
"30",15,14,27.6525,1.05471270951717,47.23,35.84,2.16666666666667,1,1.11195395714949,"IXR",5
"31",1,22,27.6525,1.65740568638413,22.83,50.2,2.16666666666667,1,0.509260980282539,"IXR",10
"32",2,47,27.6525,3.54082123909336,14.97,41.44,2.16666666666667,1,-1.3741545724267,"IXR",10
"33",3,70,27.6525,5.27356354758586,27.98,27.1,2.16666666666667,1,-3.10689688091919,"IXR",10
"34",4,38,27.6525,2.86279164011804,29.14,45.31,2.16666666666667,1,-0.696124973451372,"IXR",10
"35",5,30,27.6525,2.26009866325108,25.18,46.27,2.16666666666667,1,-0.0934319965844166,"IXR",10
"36",6,20,27.6525,1.50673244216739,35.27,46.1,2.16666666666667,1,0.659934224499278,"IXR",10
"37",7,7,27.6525,0.527356354758586,48.71,36.86,2.16666666666667,1,1.63931031190808,"IXR",10
"38",8,23,27.6525,1.7327423084925,33.34,37.68,2.16666666666667,1,0.433924358174169,"IXR",10
"39",9,12,27.6525,0.904039465300433,53.78,47.08,2.16666666666667,1,1.26262720136623,"IXR",10
"40",10,71,27.6525,5.34890016969423,19.99,26.85,2.16666666666667,1,-3.18223350302756,"IXR",10
