id,ebola,Longitude,Latitude,Roadeast,Zone
Reed_10,0,14.58973,0.35303,0,A'
Reed_11,0,14.58973,0.35303,0,A'
Reed_12,0,14.58973,0.35303,0,A'
Reed_13,0,14.58973,0.35303,0,A'
Reed_14,0,14.58973,0.35303,0,A'
Reed_15,0,14.51277,0.24675,0,A'
Reed_16,0,14.51277,0.24675,0,A'
Reed_17,0,14.51277,0.24675,0,A'
Reed_18,0,14.51367,0.24905,0,A'
Reed_19,0,14.58627,0.24747,0,A'
Reed_2,0,14.65705,0.33253,0,A'
Reed_20,0,14.58627,0.24747,0,A'
Reed_24,0,15.19534,0.72873,0,B2'
Reed_25,0,15.24328,0.69717,0,B2'
Reed_26,0,15.24319,0.69734,0,B2'
Reed_27,0,15.25319,0.66196,0,B2'
Reed_28,0,15.25334,0.66171,0,B2'
Reed_29,0,15.25334,0.66171,0,B2'
Reed_3,0,14.65705,0.33253,0,A'
Reed_30,0,15.25334,0.66171,0,B2'
Reed_31,0,15.14249,0.56494,0,B2'
Reed_32,0,15.16496,0.57898,0,B2'
Reed_33,0,15.14083,0.54648,0,B2'
Reed_34,0,15.25716,0.54215,0,B2'
Reed_35,0,15.22076,0.4938,0,B2'
Reed_36,0,15.09749,0.50391,0,B1'
Reed_37,0,15.0986,0.50698,0,B1'
Reed_38,0,15.09896,0.50987,0,B1'
Reed_39,0,15.0979,0.53827,0,B1'
Reed_40,0,15.18026,0.48217,0,B1'
Reed_41,0,15.14524,0.49799,0,B1'
Reed_42,0,15.13555,0.48883,0,B1'
Reed_43,0,15.12783,0.48195,0,B1'
Reed_45,0,15.11233,0.46659,0,B1'
Reed_46,0,15.10261,0.42905,0,B1'
Reed_47,0,15.09771,0.40529,0,B1'
Reed_5,0,14.65705,0.33253,0,A'
Reed_50,0,15.04779,0.3951,0,B1'
Reed_51,0,15.24866,0.59345,0,B1'
Reed_52,0,15.21089,0.72924,0,B1'
Reed_53,0,15.21067,0.72905,0,B1'
Reed_54,0,15.15438,0.67599,0,B1'
Reed_55,0,15.14546,0.61166,0,B1'
Reed_56,0,15.61773,0.86382,1,C'
Reed_57,0,15.61791,0.86384,1,C'
Reed_58,0,15.6614,0.81526,1,C'
Reed_59,0,15.66032,0.73328,1,C'
Reed_6,0,14.65705,0.33253,0,A'
Reed_60,0,15.66957,0.72795,1,C'
Reed_61,0,15.71057,0.74397,1,C'
Reed_62,0,15.73964,0.81988,1,C'
Reed_63,0,15.7539,0.8158,1,C'
Reed_64,0,15.75419,0.81577,1,C'
Reed_65,0,15.594,0.7541,1,C'
Reed_66,0,15.594,0.7541,1,C'
Reed_67,0,15.59898,0.783,1,C'
Reed_68,0,15.59898,0.783,1,C'
Reed_69,0,15.60725,0.78729,1,C'
Reed_7,0,14.97921,0.74674,0,Unkown
Reed_70,0,15.60725,0.78729,1,C'
Reed_71,0,15.631506,0.46798646,1,D'
Reed_72,0,15.664,0.433729,1,D'
Reed_73,0,15.650212,0.451158,1,D'
Reed_74,0,15.615612,0.537386,1,D'
Reed_75,0,15.61485,0.537944,1,D'
Reed_76,0,15.56546,0.522714,1,D'
Reed_77,0,15.568276,0.510349,1,D'
Reed_78,0,15.565916,0.403184,1,D'
Reed_79,0,15.551367,0.384232,1,D'
Reed_8,0,14.58973,0.35303,0,A'
Reed_80,0,15.540381,0.387257,1,D'
Reed_9,0,14.58973,0.35303,0,A'
AA-Gor 1,2,15.47060684,1.35808792,0,L
AA-Gor 1,2,15.46719524,1.35653291,0,L
AA-Gor 2,2,15.46719524,1.35653291,0,L
AA-Gor 3,2,15.46719524,1.35653291,0,L
AA-Gor 4,2,15.46719524,1.35653291,0,L
AGE-1 Gor Ntokou,2,15.72025,0.54536,2,1
AK Chimp 1,2,15.77529,0.104185,1,H
AK Chimp 2,2,15.72938,0.88802995,1,G
AK Chimp 3,2,15.72792993,0.88804998,1,G
